,ingredient,products
0,fish,Croquettes - Goya
1,fish,Coldfish - Goya
2,fish,"Goya, premium sardines in spicy oil"
3,fish,Premium Sardines In Olive Oil - Goya
4,fish,Select Spanish Olives Stuffed With Minced Anchovies - Goya
5,fish,Premium sardines with lemon in oil - Goya
6,fish,Sardines In Tomato Sauce - Goya
7,fish,"Sardines in tomato sauce, tomato sauce - Goya"
8,fish,"Goya, sardines in vegetable oil"
9,fish,"Goya, codfish in biscayan sauce"
10,fish,"Stuffed olives, minced tuna - Goya"
11,fish,"Goya, bacalaitos codfish fritter mix"
12,fish,"Goya, tinapa, sardines in tomato sauce"
13,fish,"Goya, tinapa, sardines in hot tomato sauce, hot"
14,fish,"Goya, macarela"
